Order_ID,Order_Date,Customer_ID,Customer_Name,Gender,Age,City,State,Region,Product_ID,Product_Name,Category,Sub_Category,Brand,Quantity,Unit_Price,Discount_Percent,Sales,Cost,Profit,Payment_Method,Sales_Channel,Sales_Person,Customer_Type
O000018,2026-09-01,C00082,Customer_01269,Male,44,Uttarakhand City,Uttarakhand,North,P0337,Headphones,Electronics,Headphones,HP,4,687.44,20,2199.81,1399.46,800.35,Net Banking,Offline,Sales_09,New
O000019,2025-03-16,C00020,Customer_00939,Male,22,Bihar City,Bihar,East,P0276,Table,Furniture,Table,LG,2,3391.28,10,6104.3,4334.23,1770.07,Credit Card,Offline,Sales_05,Returning
O000020,2026-09-19,C01653,Customer_01340,Male,60,Karnataka City,Karnataka,South,P0419,Table,Furniture,Table,Nike,2,2247.1,20,3595.36,2862.77,732.59,Net Banking,Offline,Sales_22,New
O000021,2025-12-18,C00417,Customer_01408,Female,50,Gujarat City,Gujarat,West,P0251,Shirt,Clothing,Shirt,Apple,5,861.69,10,3877.61,2953.54,924.07,Debit Card,Online,Sales_03,Returning
O000022,2026-03-29,C01130,Customer_01446,Female,53,West Bengal City,West Bengal,East,P0005,Laptop,Electronics,Laptop,Adidas,2,3221.86,10,5799.35,3517.62,2281.73,UPI,Online,Sales_23,New
O000023,2026-01-09,C01842,Customer_01911,Male,40,Chhattisgarh City,Chhattisgarh,Central,P0108,Mobile,Electronics,Mobile,Puma,5,825.66,5,3921.88,2214.45,1707.43,Credit Card,Online,Sales_12,Returning
O000024,2026-02-27,C00051,Customer_00368,Female,44,Uttarakhand City,Uttarakhand,North,P0411,Mixer,Home,Mixer,HP,2,4883.41,30,6836.77,4183.89,2652.88,Credit Card,Offline,Sales_06,New
O000025,2025-08-22,C00457,Customer_00049,Male,43,Kerala City,Kerala,South,P0169,Mobile,Electronics,Mobile,HP,2,4101.27,15,6972.16,4687.94,2284.22,Debit Card,Online,Sales_25,Returning
O000026,2025-09-25,C00366,Customer_01190,Female,20,Haryana City,Haryana,North,P0056,Lamp,Home,Lamp,LG,5,1722.63,0,8613.15,5084.94,3528.21,Net Banking,Offline,Sales_12,Returning
O000027,2026-12-27,C00894,Customer_00004,Male,41,Odisha City,Odisha,East,P0221,Yoga Mat,Sports,Yoga Mat,Apple,4,4507.57,5,17128.77,10947.9,6180.87,UPI,Offline,Sales_20,Returning
O000028,2025-10-30,C01136,Customer_00261,Male,44,Tamil Nadu City,Tamil Nadu,South,P0341,Curtains,Home,Curtains,Ikea,3,3367.78,10,9093.01,6281.82,2811.19,Cash,Online,Sales_20,Returning
O000029,2026-11-02,C00660,Customer_00953,Female,46,Kerala City,Kerala,South,P0346,Football,Sports,Football,Nike,3,1129.9,30,2372.79,1786.7,586.09,Credit Card,Offline,Sales_24,New
O000030,2025-08-29,C01378,Customer_00636,Male,30,Karnataka City,Karnataka,South,P0076,Jacket,Clothing,Jacket,Philips,5,1742.42,30,6098.47,5386.17,712.3,UPI,Online,Sales_08,Returning
O000031,2026-02-14,C00500,Customer_00303,Male,24,Uttarakhand City,Uttarakhand,North,P0399,Mobile,Electronics,Mobile,LG,5,1052.73,25,3947.74,2701.8,1245.94,Cash,Online,Sales_06,Returning
O000032,2026-07-27,C01220,Customer_00650,Female,57,Maharashtra City,Maharashtra,West,P0418,Football,Sports,Football,Apple,4,753.36,15,2561.42,2007.26,554.16,Net Banking,Offline,Sales_18,Returning
O000033,2026-06-18,C00993,Customer_01284,Male,35,Rajasthan City,Rajasthan,North,P0226,Curtains,Home,Curtains,Sony,3,3783.71,30,7945.79,6143.54,1802.25,UPI,Offline,Sales_08,Returning
O000034,2026-12-25,C00439,Customer_00132,Female,44,Bihar City,Bihar,East,P0170,Jacket,Clothing,Jacket,Apple,2,839.07,15,1426.42,1130.98,295.44,Net Banking,Offline,Sales_14,New
O000035,2026-05-04,C00013,Customer_01931,Female,37,Punjab City,Punjab,North,P0386,Oil,Grocery,Oil,Puma,1,4297.99,30,3008.59,2260.93,747.66,Cash,Offline,Sales_18,New
O000036,2026-02-19,C01484,Customer_00339,Female,26,Telangana City,Telangana,South,P0319,Table,Furniture,Table,LG,4,242.22,10,871.99,683.73,188.26,Net Banking,Online,Sales_13,New
O000037,2025-08-05,C00932,Customer_00670,Female,42,Karnataka City,Karnataka,South,P0143,Curtains,Home,Curtains,Dell,4,990.47,10,3565.69,2434.25,1131.44,Cash,Offline,Sales_03,Returning
O000038,2026-10-30,C00083,Customer_01545,Male,33,Delhi City,Delhi,North,P0103,Lamp,Home,Lamp,Samsung,3,1198.69,0,3596.07,2961.12,634.95,UPI,Online,Sales_08,New
O000039,2025-06-21,C01241,Customer_01244,Male,28,Telangana City,Telangana,South,P0494,Mixer,Home,Mixer,Puma,2,2378.67,10,4281.61,3504.13,777.48,Debit Card,Online,Sales_19,New
O000040,2026-12-09,C01702,Customer_01285,Male,24,Madhya Pradesh City,Madhya Pradesh,Central,P0357,Yoga Mat,Sports,Yoga Mat,LG,4,4713.21,5,17910.2,10327.0,7583.2,Debit Card,Online,Sales_19,New
O000041,2026-03-07,C01685,Customer_01004,Male,45,Haryana City,Haryana,North,P0492,Cricket Bat,Sports,Cricket Bat,Philips,3,437.89,25,985.25,659.56,325.69,Debit Card,Offline,Sales_23,New
O000042,2026-04-22,C00893,Customer_01692,Female,38,Odisha City,Odisha,East,P0437,Sofa,Furniture,Sofa,Ikea,3,3117.97,20,7483.13,6144.58,1338.55,Credit Card,Online,Sales_09,Returning
O000043,2025-07-06,C00999,Customer_00435,Female,34,Uttar Pradesh City,Uttar Pradesh,North,P0175,Snacks,Grocery,Snacks,Puma,4,1748.34,15,5944.36,5039.83,904.53,Debit Card,Offline,Sales_18,New
O000044,2026-05-03,C01323,Customer_01458,Female,46,Andhra Pradesh City,Andhra Pradesh,South,P0406,Chair,Furniture,Chair,HP,4,2494.03,30,6983.28,4428.19,2555.09,UPI,Online,Sales_10,New
O000045,2026-03-12,C01528,Customer_01128,Female,40,Kerala City,Kerala,South,P0360,Mixer,Home,Mixer,Nike,5,1908.2,20,7632.8,5616.39,2016.41,Cash,Offline,Sales_10,Returning
O000046,2026-12-08,C00380,Customer_00393,Male,65,Uttar Pradesh City,Uttar Pradesh,North,P0248,Headphones,Electronics,Headphones,HP,3,685.82,20,1645.97,1453.07,192.9,Debit Card,Offline,Sales_04,New
O000047,2025-02-16,C01996,Customer_00112,Female,62,Madhya Pradesh City,Madhya Pradesh,Central,P0484,Table,Furniture,Table,Dell,3,169.33,20,406.39,241.52,164.87,Credit Card,Offline,Sales_04,New
O000048,2026-05-05,C00234,Customer_01684,Male,43,Jharkhand City,Jharkhand,East,P0252,Jeans,Clothing,Jeans,Sony,4,1769.46,0,7077.84,4518.26,2559.58,UPI,Online,Sales_05,New
O000049,2026-09-26,C00463,Customer_01589,Female,46,Jharkhand City,Jharkhand,East,P0466,Shirt,Clothing,Shirt,HP,1,2834.56,15,2409.38,1836.46,572.92,Cash,Offline,Sales_19,Returning
O000050,2025-08-01,C01282,Customer_00433,Female,60,Madhya Pradesh City,Madhya Pradesh,Central,P0042,Yoga Mat,Sports,Yoga Mat,Samsung,5,4804.53,0,24022.65,21179.73,2842.92,Credit Card,Online,Sales_06,New
O000051,2026-12-25,C00580,Customer_01440,Female,22,Rajasthan City,Rajasthan,North,P0352,Mobile,Electronics,Mobile,Sony,5,2402.57,0,12012.85,7580.31,4432.54,Credit Card,Offline,Sales_21,New
O000052,2025-03-03,C00340,Customer_01624,Female,56,Odisha City,Odisha,East,P0384,Headphones,Electronics,Headphones,HP,2,4551.22,30,6371.71,3821.64,2550.07,Net Banking,Offline,Sales_15,New
O000053,2026-03-25,C00165,Customer_01225,Male,45,Assam City,Assam,East,P0377,Curtains,Home,Curtains,Boat,4,4719.11,20,15101.15,11159.65,3941.5,Debit Card,Offline,Sales_01,New
O000054,2026-08-14,C00083,Customer_01563,Male,48,Uttar Pradesh City,Uttar Pradesh,North,P0266,Lamp,Home,Lamp,Puma,1,4997.9,25,3748.42,3139.29,609.13,Cash,Offline,Sales_06,Returning
O000055,2025-06-14,C00676,Customer_00844,Female,36,Telangana City,Telangana,South,P0340,Mobile,Electronics,Mobile,Adidas,4,1733.21,25,5199.63,3050.15,2149.48,Cash,Online,Sales_15,New
O000056,2026-11-05,C01781,Customer_01112,Female,44,Bihar City,Bihar,East,P0028,Jeans,Clothing,Jeans,Apple,4,4338.06,30,12146.57,10881.4,1265.17,Credit Card,Offline,Sales_20,Returning
O000057,2026-12-17,C00993,Customer_00249,Male,58,Assam City,Assam,East,P0312,Laptop,Electronics,Laptop,Nike,5,741.96,10,3338.82,2348.33,990.49,Credit Card,Online,Sales_10,New
O000058,2025-06-07,C01021,Customer_01911,Female,50,Chhattisgarh City,Chhattisgarh,Central,P0362,Rice,Grocery,Rice,HP,1,2361.09,0,2361.09,1833.85,527.24,Debit Card,Offline,Sales_16,Returning
O000059,2025-05-20,C01770,Customer_00143,Female,44,Uttar Pradesh City,Uttar Pradesh,North,P0175,Snacks,Grocery,Snacks,Dell,4,1033.99,20,3308.77,2408.4,900.37,Net Banking,Offline,Sales_01,Returning
O000060,2025-12-20,C00681,Customer_01131,Female,47,Madhya Pradesh City,Madhya Pradesh,Central,P0478,Yoga Mat,Sports,Yoga Mat,Philips,4,4339.78,15,14755.25,10896.8,3858.45,Debit Card,Online,Sales_23,New
O000061,2026-01-26,C00791,Customer_01360,Male,49,Jharkhand City,Jharkhand,East,P0494,Rice,Grocery,Rice,LG,1,1659.06,15,1410.2,1123.69,286.51,UPI,Online,Sales_17,Returning
O000062,2026-11-02,C01987,Customer_00317,Male,48,Tamil Nadu City,Tamil Nadu,South,P0401,Rice,Grocery,Rice,Ikea,4,175.2,5,665.76,461.7,204.06,Debit Card,Offline,Sales_20,Returning
O000063,2026-05-15,C01787,Customer_01109,Male,57,Karnataka City,Karnataka,South,P0036,Jacket,Clothing,Jacket,Ikea,4,4775.28,25,14325.84,11482.89,2842.95,Credit Card,Offline,Sales_08,New
O000064,2025-01-30,C00095,Customer_00665,Male,36,Odisha City,Odisha,East,P0184,Headphones,Electronics,Headphones,Boat,1,2274.02,25,1705.51,1116.79,588.72,Debit Card,Offline,Sales_05,New
O000065,2026-01-27,C01270,Customer_01400,Male,49,Andhra Pradesh City,Andhra Pradesh,South,P0468,Snacks,Grocery,Snacks,Philips,2,932.92,0,1865.84,1424.24,441.6,Net Banking,Online,Sales_08,Returning
O000066,2026-11-25,C01120,Customer_00324,Male,46,West Bengal City,West Bengal,East,P0484,Oil,Grocery,Oil,Philips,1,4504.65,15,3828.95,3313.66,515.29,Debit Card,Offline,Sales_21,Returning
O000067,2026-08-09,C00736,Customer_01178,Female,62,West Bengal City,West Bengal,East,P0152,Oil,Grocery,Oil,HP,4,4281.34,0,17125.36,10840.73,6284.63,UPI,Offline,Sales_09,New
O000068,2025-10-21,C01589,Customer_01637,Male,56,Jharkhand City,Jharkhand,East,P0411,Lamp,Home,Lamp,Samsung,5,3751.34,30,13129.69,11376.28,1753.41,Debit Card,Online,Sales_21,New
O000069,2025-11-13,C01616,Customer_00903,Male,55,Uttarakhand City,Uttarakhand,North,P0187,Jacket,Clothing,Jacket,Boat,2,3178.42,25,4767.63,3700.73,1066.9,Credit Card,Online,Sales_10,Returning
O000070,2025-10-07,C01701,Customer_00337,Female,48,Odisha City,Odisha,East,P0496,Chair,Furniture,Chair,Dell,5,4394.66,10,19775.97,14551.13,5224.84,Debit Card,Offline,Sales_04,Returning
O000071,2025-04-03,C01620,Customer_00809,Male,34,Karnataka City,Karnataka,South,P0275,Chair,Furniture,Chair,Philips,4,4839.62,30,13550.94,10096.26,3454.68,UPI,Offline,Sales_12,Returning
O000072,2026-07-29,C00672,Customer_01875,Male,59,Jharkhand City,Jharkhand,East,P0033,Snacks,Grocery,Snacks,Adidas,1,3406.7,15,2895.69,1617.99,1277.7,Cash,Offline,Sales_21,Returning
O000073,2026-07-05,C00278,Customer_00796,Female,41,Tamil Nadu City,Tamil Nadu,South,P0344,Chair,Furniture,Chair,Samsung,3,4980.04,0,14940.12,8725.29,6214.83,Net Banking,Offline,Sales_19,New
O000074,2026-01-15,C00445,Customer_00909,Female,33,Odisha City,Odisha,East,P0438,Mixer,Home,Mixer,Sony,5,2099.77,10,9448.97,5305.13,4143.84,Debit Card,Online,Sales_22,Returning
O000075,2026-04-11,C00188,Customer_01358,Male,59,Chhattisgarh City,Chhattisgarh,Central,P0328,Curtains,Home,Curtains,Samsung,4,1451.82,0,5807.28,5122.91,684.37,Net Banking,Online,Sales_02,Returning
O000076,2025-08-10,C01666,Customer_01782,Male,39,Uttar Pradesh City,Uttar Pradesh,North,P0397,Sofa,Furniture,Sofa,HP,1,4166.11,20,3332.89,2074.74,1258.15,Credit Card,Online,Sales_09,New
O000077,2026-01-02,C01618,Customer_01615,Male,55,Gujarat City,Gujarat,West,P0166,Cricket Bat,Sports,Cricket Bat,Dell,1,3339.18,0,3339.18,1990.59,1348.59,UPI,Online,Sales_09,New
O000078,2026-01-06,C01052,Customer_01216,Male,46,Gujarat City,Gujarat,West,P0258,Curtains,Home,Curtains,Ikea,1,3753.76,15,3190.7,2255.49,935.21,Credit Card,Online,Sales_24,Returning
O000079,2026-05-18,C01459,Customer_01864,Female,22,Assam City,Assam,East,P0461,Mixer,Home,Mixer,Samsung,4,4251.76,15,14455.98,11422.16,3033.82,UPI,Offline,Sales_20,New
O000080,2026-09-04,C01087,Customer_00604,Female,50,Karnataka City,Karnataka,South,P0310,Table,Furniture,Table,Puma,5,2786.95,10,12541.27,8569.66,3971.61,Cash,Online,Sales_23,New
O000081,2026-04-10,C00817,Customer_00852,Male,38,Chhattisgarh City,Chhattisgarh,Central,P0219,Mixer,Home,Mixer,LG,4,4451.65,15,15135.61,10120.06,5015.55,Debit Card,Offline,Sales_12,New
O000082,2025-05-14,C01140,Customer_00123,Female,60,Telangana City,Telangana,South,P0063,Laptop,Electronics,Laptop,Apple,1,2216.19,25,1662.14,1343.97,318.17,Cash,Offline,Sales_22,Returning
O000083,2026-11-04,C00988,Customer_00460,Male,40,Maharashtra City,Maharashtra,West,P0433,Jacket,Clothing,Jacket,Nike,3,607.64,20,1458.34,910.67,547.67,Net Banking,Offline,Sales_04,Returning
O000084,2026-09-16,C01903,Customer_01348,Female,19,Jharkhand City,Jharkhand,East,P0093,Table,Furniture,Table,Ikea,5,3106.51,25,11649.41,8677.17,2972.24,Debit Card,Offline,Sales_11,Returning
O000085,2025-02-01,C00188,Customer_01529,Male,42,Delhi City,Delhi,North,P0215,Chair,Furniture,Chair,Puma,4,440.97,25,1322.91,1020.77,302.14,Cash,Offline,Sales_06,Returning
O000086,2026-09-25,C00102,Customer_01381,Male,35,Madhya Pradesh City,Madhya Pradesh,Central,P0227,Curtains,Home,Curtains,Puma,5,516.29,0,2581.45,1560.37,1021.08,Cash,Offline,Sales_20,Returning
O000087,2026-11-26,C01215,Customer_00997,Female,20,Odisha City,Odisha,East,P0113,Shirt,Clothing,Shirt,Ikea,1,1791.35,0,1791.35,1162.83,628.52,Cash,Online,Sales_01,New
O000088,2026-03-17,C00360,Customer_00265,Female,52,Madhya Pradesh City,Madhya Pradesh,Central,P0361,Chair,Furniture,Chair,Nike,3,1707.8,0,5123.4,3709.78,1413.62,Credit Card,Offline,Sales_03,Returning
O000089,2026-02-19,C01454,Customer_01312,Female,36,Maharashtra City,Maharashtra,West,P0059,Rice,Grocery,Rice,Sony,1,4324.34,20,3459.47,2422.49,1036.98,Cash,Online,Sales_11,New
O000090,2026-08-27,C00821,Customer_01074,Male,43,Uttarakhand City,Uttarakhand,North,P0446,Snacks,Grocery,Snacks,Adidas,1,2239.89,0,2239.89,1422.69,817.2,Debit Card,Offline,Sales_08,Returning
O000091,2025-12-24,C00720,Customer_01490,Male,33,Rajasthan City,Rajasthan,North,P0053,Headphones,Electronics,Headphones,Philips,1,2699.96,5,2564.96,2224.01,340.95,Credit Card,Offline,Sales_07,New
O000092,2026-08-01,C01557,Customer_01187,Female,61,Uttarakhand City,Uttarakhand,North,P0474,Sofa,Furniture,Sofa,Apple,2,4761.33,25,7141.99,5163.24,1978.75,Net Banking,Offline,Sales_21,Returning
O000093,2025-02-27,C00721,Customer_01040,Male,37,Gujarat City,Gujarat,West,P0237,Rice,Grocery,Rice,Sony,4,3193.79,30,8942.61,5778.14,3164.47,Cash,Online,Sales_02,Returning
O000094,2026-07-22,C01955,Customer_01622,Male,46,Madhya Pradesh City,Madhya Pradesh,Central,P0466,Headphones,Electronics,Headphones,Apple,5,3010.99,15,12796.71,9110.61,3686.1,Net Banking,Online,Sales_11,Returning
O000095,2025-03-28,C01034,Customer_01324,Male,20,Andhra Pradesh City,Andhra Pradesh,South,P0127,Chair,Furniture,Chair,Sony,1,4073.74,30,2851.62,1911.16,940.46,Cash,Offline,Sales_17,New
O000096,2026-10-09,C01326,Customer_00686,Male,39,Haryana City,Haryana,North,P0049,Jeans,Clothing,Jeans,LG,4,3894.88,25,11684.64,8871.68,2812.96,Net Banking,Offline,Sales_10,Returning
O000097,2026-11-03,C01431,Customer_01357,Female,26,Uttarakhand City,Uttarakhand,North,P0305,Table,Furniture,Table,Apple,5,3351.7,10,15082.65,9933.15,5149.5,UPI,Offline,Sales_18,Returning
O000098,2026-01-06,C00038,Customer_00743,Female,29,Bihar City,Bihar,East,P0487,Sofa,Furniture,Sofa,Boat,5,557.92,25,2092.2,1460.76,631.44,Credit Card,Offline,Sales_25,Returning
O000099,2026-07-07,C01711,Customer_01513,Male,60,Punjab City,Punjab,North,P0173,Chair,Furniture,Chair,Dell,1,1549.38,30,1084.57,634.91,449.66,Net Banking,Online,Sales_20,Returning
O000100,2025-02-14,C00842,Customer_00747,Male,46,Gujarat City,Gujarat,West,P0313,Chair,Furniture,Chair,Boat,5,4064.31,5,19305.47,15490.98,3814.49,Debit Card,Offline,Sales_08,New
O000101,2026-01-27,C01030,Customer_01081,Female,28,Madhya Pradesh City,Madhya Pradesh,Central,P0419,Rice,Grocery,Rice,Adidas,5,4923.75,15,20925.94,17144.7,3781.24,Credit Card,Online,Sales_09,New
O000102,2025-06-14,C00559,Customer_00921,Male,45,Telangana City,Telangana,South,P0047,Jacket,Clothing,Jacket,Apple,5,4270.71,10,19218.19,11134.18,8084.01,Credit Card,Offline,Sales_12,New
O000103,2025-01-29,C00653,Customer_01907,Male,63,Odisha City,Odisha,East,P0333,Mobile,Electronics,Mobile,Ikea,3,1255.31,0,3765.93,2565.42,1200.51,Debit Card,Online,Sales_05,New
O000104,2025-01-20,C00525,Customer_00442,Male,53,Madhya Pradesh City,Madhya Pradesh,Central,P0482,Snacks,Grocery,Snacks,Dell,4,2298.15,0,9192.6,7970.44,1222.16,Net Banking,Offline,Sales_04,Returning
O000105,2025-03-06,C00228,Customer_01714,Female,56,Uttar Pradesh City,Uttar Pradesh,North,P0275,Shirt,Clothing,Shirt,Samsung,2,2157.15,30,3020.01,2319.32,700.69,UPI,Online,Sales_23,New
O000106,2026-11-16,C00176,Customer_01073,Female,22,Madhya Pradesh City,Madhya Pradesh,Central,P0489,Rice,Grocery,Rice,Puma,3,1278.76,15,3260.84,2007.24,1253.6,Net Banking,Online,Sales_13,Returning
O000107,2025-12-20,C00494,Customer_01502,Male,55,Maharashtra City,Maharashtra,West,P0377,Curtains,Home,Curtains,Adidas,3,3761.85,10,10156.99,8389.49,1767.5,Debit Card,Online,Sales_02,Returning
O000108,2025-05-19,C00130,Customer_01467,Female,20,Chhattisgarh City,Chhattisgarh,Central,P0151,Jacket,Clothing,Jacket,Dell,4,4906.01,15,16680.43,12862.41,3818.02,Credit Card,Online,Sales_07,New
O000109,2025-07-15,C00586,Customer_00732,Male,59,Bihar City,Bihar,East,P0170,Jacket,Clothing,Jacket,LG,5,2419.66,0,12098.3,9843.8,2254.5,Debit Card,Online,Sales_12,Returning
O000110,2026-01-12,C01893,Customer_01633,Female,23,Kerala City,Kerala,South,P0373,Curtains,Home,Curtains,LG,3,4871.25,15,12421.69,9840.76,2580.93,Cash,Online,Sales_14,New
O000111,2026-09-10,C01470,Customer_00873,Male,62,Chhattisgarh City,Chhattisgarh,Central,P0228,Jeans,Clothing,Jeans,Apple,1,1706.81,10,1536.13,1009.66,526.47,Debit Card,Offline,Sales_02,Returning
O000112,2026-06-10,C01641,Customer_01536,Male,19,Uttarakhand City,Uttarakhand,North,P0074,Oil,Grocery,Oil,Philips,1,467.7,25,350.77,242.79,107.98,Net Banking,Offline,Sales_02,New
O000113,2025-06-07,C01391,Customer_00922,Female,41,Karnataka City,Karnataka,South,P0228,Sofa,Furniture,Sofa,Adidas,3,1975.99,20,4742.38,2662.06,2080.32,UPI,Online,Sales_17,Returning
O000114,2026-05-27,C01061,Customer_00793,Male,34,Kerala City,Kerala,South,P0397,Jacket,Clothing,Jacket,Nike,2,4806.55,0,9613.1,7762.45,1850.65,Debit Card,Offline,Sales_07,Returning
O000115,2025-03-31,C01660,Customer_01397,Female,60,Telangana City,Telangana,South,P0178,Chair,Furniture,Chair,Dell,1,2315.01,25,1736.26,1225.43,510.83,UPI,Offline,Sales_10,New
O000116,2026-05-21,C00054,Customer_00740,Female,47,Rajasthan City,Rajasthan,North,P0412,Jacket,Clothing,Jacket,HP,1,4927.15,30,3449.0,2064.6,1384.4,Net Banking,Online,Sales_20,New
O000117,2026-08-12,C00152,Customer_00257,Female,59,Karnataka City,Karnataka,South,P0038,Jeans,Clothing,Jeans,Boat,4,2675.91,30,7492.55,5194.6,2297.95,Cash,Offline,Sales_22,Returning
O000118,2025-02-26,C01703,Customer_00255,Male,37,Gujarat City,Gujarat,West,P0085,Yoga Mat,Sports,Yoga Mat,Puma,2,3862.13,5,7338.05,5147.03,2191.02,Credit Card,Offline,Sales_23,New
O000119,2026-10-03,C00621,Customer_01259,Male,50,Haryana City,Haryana,North,P0329,Cricket Bat,Sports,Cricket Bat,Apple,3,1061.88,20,2548.51,1646.48,902.03,Credit Card,Online,Sales_06,Returning
O000120,2026-10-29,C00432,Customer_01571,Female,57,Jharkhand City,Jharkhand,East,P0328,Laptop,Electronics,Laptop,Apple,1,4747.88,30,3323.52,2498.85,824.67,UPI,Offline,Sales_21,Returning
O000121,2025-06-11,C00901,Customer_00852,Female,47,Madhya Pradesh City,Madhya Pradesh,Central,P0105,Rice,Grocery,Rice,Philips,4,1557.43,0,6229.72,4927.8,1301.92,Debit Card,Online,Sales_11,Returning
O000122,2025-05-06,C00548,Customer_00921,Male,27,Haryana City,Haryana,North,P0050,Rice,Grocery,Rice,Adidas,5,2852.09,10,12834.41,8144.82,4689.59,UPI,Offline,Sales_13,Returning
O000123,2026-06-12,C00957,Customer_01022,Female,49,Uttar Pradesh City,Uttar Pradesh,North,P0012,Table,Furniture,Table,Puma,3,1030.19,5,2936.04,2126.85,809.19,UPI,Offline,Sales_17,Returning
O000124,2026-11-01,C01378,Customer_00964,Female,52,Uttar Pradesh City,Uttar Pradesh,North,P0005,Sofa,Furniture,Sofa,Adidas,1,347.65,15,295.5,224.32,71.18,UPI,Offline,Sales_05,Returning
O000125,2026-07-21,C00592,Customer_00151,Female,50,Haryana City,Haryana,North,P0231,Oil,Grocery,Oil,Samsung,4,350.67,20,1122.14,693.63,428.51,Net Banking,Offline,Sales_20,New
O000126,2025-07-23,C01234,Customer_01043,Female,50,Gujarat City,Gujarat,West,P0021,Mobile,Electronics,Mobile,Adidas,3,2833.38,10,7650.13,6229.03,1421.1,UPI,Online,Sales_05,Returning
O000127,2026-09-20,C00653,Customer_00333,Female,57,Telangana City,Telangana,South,P0379,Cricket Bat,Sports,Cricket Bat,Dell,5,4476.35,5,21262.66,14135.16,7127.5,Debit Card,Offline,Sales_17,Returning
