Age,Tenure,MonthlyCharges,Contract,InternetService,PaymentMethod,SupportCalls,Churn
57,21,55.03,One year,Fiber optic,Bank transfer,9,Yes
61,18,71.09,One year,No,Mailed check,2,No
24,29,73.51,Month-to-month,DSL,Electronic check,5,No
37,14,42.32,Month-to-month,DSL,Mailed check,5,Yes
65,41,115.23,Month-to-month,DSL,Electronic check,7,No
69,38,107.01,Two year,No,Mailed check,2,No
44,33,72.1,Month-to-month,Fiber optic,Bank transfer,7,No
67,33,40.59,Month-to-month,DSL,Bank transfer,9,No
70,62,122.36,Month-to-month,DSL,Mailed check,1,No
42,10,110.08,Month-to-month,Fiber optic,Credit card,9,No
73,55,106.34,Month-to-month,Fiber optic,Electronic check,3,No
35,42,142.92,One year,Fiber optic,Electronic check,5,No
32,57,124.46,Month-to-month,No,Electronic check,2,No
60,41,136.83,Month-to-month,DSL,Electronic check,8,No
57,56,118.86,Month-to-month,DSL,Credit card,10,No
26,44,116.91,Month-to-month,Fiber optic,Bank transfer,1,No
69,51,118.59,One year,No,Electronic check,8,No
30,30,142.9,Month-to-month,No,Mailed check,4,No
67,65,88.25,Month-to-month,Fiber optic,Electronic check,6,Yes
18,21,73.36,One year,No,Mailed check,3,No
67,52,144.96,Month-to-month,DSL,Bank transfer,2,Yes
66,23,145.96,One year,DSL,Electronic check,1,No
66,57,133.41,Two year,Fiber optic,Bank transfer,10,No
59,60,94.71,Month-to-month,No,Bank transfer,7,No
47,13,101.47,One year,No,Electronic check,9,No
61,45,78.34,Month-to-month,DSL,Mailed check,1,No
35,38,47.37,Month-to-month,Fiber optic,Credit card,8,No
66,29,33.14,Month-to-month,DSL,Mailed check,9,No
52,20,21.61,One year,DSL,Credit card,5,Yes
46,44,47.68,Month-to-month,DSL,Credit card,9,No
49,60,89.99,Month-to-month,No,Electronic check,10,No
53,25,137.19,One year,DSL,Bank transfer,2,Yes
20,24,74.01,One year,DSL,Mailed check,8,No
26,62,103.31,Two year,Fiber optic,Credit card,8,No
33,55,80.14,Two year,DSL,Mailed check,4,No
25,53,21.78,Month-to-month,No,Electronic check,7,No
45,43,75.59,Two year,Fiber optic,Electronic check,8,No
59,7,68.21,Two year,Fiber optic,Electronic check,8,No
58,10,61.15,One year,DSL,Mailed check,5,No
47,4,59.75,Month-to-month,Fiber optic,Mailed check,6,No
71,22,39.8,One year,DSL,Mailed check,3,No
53,2,95.86,One year,Fiber optic,Electronic check,8,Yes
22,34,124.42,One year,DSL,Electronic check,3,No
65,2,128.28,Month-to-month,Fiber optic,Electronic check,4,No
53,72,54.9,Month-to-month,DSL,Electronic check,7,No
57,36,57.31,One year,No,Mailed check,4,No
53,0,56.94,Month-to-month,Fiber optic,Mailed check,6,No
52,13,40.9,One year,Fiber optic,Electronic check,9,No
23,13,101.14,Month-to-month,DSL,Bank transfer,9,No
52,49,39.04,Month-to-month,No,Credit card,1,No
67,56,71.76,One year,Fiber optic,Bank transfer,4,No
36,35,90.55,One year,Fiber optic,Electronic check,10,No
55,53,108.05,Two year,DSL,Bank transfer,6,Yes
19,6,145.75,Month-to-month,Fiber optic,Credit card,6,No
39,22,126.23,Month-to-month,Fiber optic,Electronic check,1,Yes
45,0,71.19,Month-to-month,No,Credit card,6,No
78,29,127.73,One year,Fiber optic,Electronic check,8,Yes
31,2,56.49,One year,No,Electronic check,3,No
35,57,108.23,Two year,DSL,Credit card,9,No
43,38,46.8,Month-to-month,DSL,Electronic check,2,No
79,54,76.78,Month-to-month,DSL,Credit card,3,No
70,42,99.83,One year,Fiber optic,Bank transfer,1,Yes
20,2,125.54,Month-to-month,DSL,Electronic check,2,No
32,25,141.04,One year,Fiber optic,Bank transfer,8,Yes
68,0,147.37,One year,No,Mailed check,8,Yes
21,5,130.03,One year,No,Electronic check,10,Yes
71,68,44.95,Month-to-month,No,Bank transfer,10,No
35,68,130.58,One year,Fiber optic,Electronic check,0,Yes
74,8,96.13,One year,Fiber optic,Credit card,2,Yes
36,29,68.57,Month-to-month,No,Bank transfer,4,No
44,21,59.38,Month-to-month,Fiber optic,Mailed check,6,No
59,31,113.78,Two year,DSL,Bank transfer,5,No
25,44,75.95,Month-to-month,No,Mailed check,2,No
52,27,132.24,Two year,DSL,Electronic check,0,Yes
49,59,142.97,Month-to-month,Fiber optic,Electronic check,3,No
66,4,135.76,Two year,DSL,Credit card,2,Yes
79,42,80.33,Two year,DSL,Electronic check,5,No
59,51,134.77,Month-to-month,Fiber optic,Credit card,4,No
43,40,97.81,Month-to-month,Fiber optic,Credit card,9,No
43,48,43.94,Month-to-month,DSL,Electronic check,9,No
43,45,31.46,One year,DSL,Bank transfer,2,No
68,12,25.8,Month-to-month,Fiber optic,Electronic check,7,No
37,57,25.39,Month-to-month,Fiber optic,Credit card,2,No
28,19,126.21,One year,Fiber optic,Electronic check,1,No
38,12,37.18,Month-to-month,Fiber optic,Credit card,0,No
19,39,135.28,Month-to-month,DSL,Electronic check,2,Yes
24,46,58.18,Month-to-month,DSL,Electronic check,1,No
23,27,149.04,One year,Fiber optic,Mailed check,5,No
65,4,76.9,Month-to-month,Fiber optic,Mailed check,8,No
62,72,39.63,One year,Fiber optic,Electronic check,1,No
61,59,49.59,Month-to-month,DSL,Credit card,8,No
46,36,47.78,Month-to-month,No,Bank transfer,4,No
62,25,41.14,One year,No,Electronic check,5,No
27,64,123.48,One year,Fiber optic,Bank transfer,0,No
73,25,38.58,Two year,No,Mailed check,10,No
49,14,83.06,One year,DSL,Credit card,6,No
76,18,126.69,Two year,Fiber optic,Bank transfer,0,No
27,40,98.42,Month-to-month,DSL,Electronic check,0,No
48,54,117.59,Month-to-month,Fiber optic,Bank transfer,5,No
61,23,34.2,One year,Fiber optic,Electronic check,4,No
48,14,127.67,Month-to-month,DSL,Electronic check,10,Yes
45,68,97.72,Month-to-month,DSL,Credit card,10,No
28,7,20.58,Month-to-month,DSL,Electronic check,5,No
41,40,126.99,Two year,DSL,Bank transfer,0,No
32,12,105.4,Two year,DSL,Bank transfer,6,No
36,47,22.05,Month-to-month,Fiber optic,Electronic check,8,No
60,27,122.25,Month-to-month,DSL,Electronic check,4,No
57,5,148.36,One year,Fiber optic,Bank transfer,5,No
55,12,104.47,Two year,DSL,Credit card,8,No
40,35,130.07,Month-to-month,Fiber optic,Credit card,9,No
77,10,131.81,One year,No,Mailed check,4,No
23,42,149.41,Month-to-month,No,Electronic check,8,No
39,58,53.0,Month-to-month,Fiber optic,Bank transfer,1,No
25,21,82.17,Month-to-month,Fiber optic,Electronic check,3,No
39,68,71.94,Month-to-month,No,Electronic check,6,No
77,53,111.0,Month-to-month,Fiber optic,Credit card,5,No
40,6,102.48,One year,DSL,Electronic check,4,No
74,34,79.07,Month-to-month,DSL,Credit card,9,No
48,40,140.88,Two year,DSL,Credit card,8,No
61,40,137.35,One year,Fiber optic,Bank transfer,6,Yes
46,33,36.94,One year,No,Mailed check,9,No
34,26,79.07,Month-to-month,Fiber optic,Credit card,5,Yes
65,41,20.89,Month-to-month,DSL,Electronic check,8,Yes
78,49,96.51,Month-to-month,DSL,Bank transfer,7,No
34,61,132.2,Month-to-month,Fiber optic,Electronic check,6,No
66,7,101.27,Two year,Fiber optic,Bank transfer,4,Yes
34,10,61.61,Month-to-month,Fiber optic,Electronic check,3,No
62,36,139.35,Month-to-month,Fiber optic,Bank transfer,6,Yes
66,30,131.18,Month-to-month,Fiber optic,Bank transfer,8,No
45,65,134.64,Month-to-month,DSL,Bank transfer,5,No
63,41,116.16,One year,Fiber optic,Bank transfer,0,Yes
34,17,31.25,Month-to-month,Fiber optic,Electronic check,2,No
22,62,95.83,One year,DSL,Mailed check,0,No
23,63,92.22,Month-to-month,No,Bank transfer,3,Yes
45,2,141.07,Month-to-month,DSL,Bank transfer,8,Yes
73,64,124.22,Month-to-month,Fiber optic,Mailed check,5,No
25,26,51.85,Month-to-month,Fiber optic,Bank transfer,1,No
46,16,118.48,Two year,Fiber optic,Bank transfer,2,No
61,8,68.89,Two year,DSL,Electronic check,10,Yes
30,5,69.41,Month-to-month,Fiber optic,Electronic check,8,Yes
62,4,138.65,Two year,Fiber optic,Electronic check,5,Yes
36,55,30.42,Two year,DSL,Credit card,7,Yes
68,66,42.1,Month-to-month,Fiber optic,Mailed check,4,No
53,69,73.89,Month-to-month,Fiber optic,Electronic check,5,No
51,37,77.68,Month-to-month,Fiber optic,Bank transfer,0,No
28,18,138.12,Two year,No,Bank transfer,7,No
46,64,102.31,Two year,Fiber optic,Electronic check,6,Yes
71,66,94.4,Month-to-month,DSL,Mailed check,8,No
19,29,113.23,Month-to-month,DSL,Mailed check,1,No
65,15,28.6,Month-to-month,Fiber optic,Credit card,0,No
48,61,88.62,One year,DSL,Mailed check,6,No
62,26,109.12,Two year,Fiber optic,Bank transfer,7,No
59,39,130.9,Month-to-month,Fiber optic,Electronic check,8,No
44,64,22.14,Two year,Fiber optic,Mailed check,4,No
37,12,54.41,Month-to-month,DSL,Bank transfer,2,No
56,22,47.75,One year,Fiber optic,Bank transfer,7,No
26,15,132.13,Two year,DSL,Mailed check,10,No
54,55,71.23,Month-to-month,DSL,Electronic check,0,No
23,8,143.27,Two year,DSL,Bank transfer,6,No
58,10,119.06,One year,Fiber optic,Credit card,9,No
56,24,132.11,One year,DSL,Bank transfer,7,No
23,27,128.9,Two year,Fiber optic,Credit card,2,No
64,54,40.53,Two year,DSL,Bank transfer,2,No
43,68,26.38,One year,No,Bank transfer,3,No
66,43,96.16,Two year,No,Bank transfer,10,No
20,16,29.35,Month-to-month,Fiber optic,Credit card,5,Yes
29,48,94.23,Month-to-month,DSL,Credit card,8,No
48,51,50.72,Month-to-month,Fiber optic,Mailed check,3,No
29,6,143.27,Month-to-month,DSL,Bank transfer,3,No
38,67,77.94,Two year,Fiber optic,Mailed check,3,No
58,37,101.57,One year,DSL,Electronic check,7,No
26,57,97.56,Month-to-month,DSL,Mailed check,9,Yes
60,3,140.01,Month-to-month,Fiber optic,Mailed check,7,No
24,69,126.91,Month-to-month,Fiber optic,Electronic check,8,No
28,70,122.97,Month-to-month,DSL,Mailed check,9,No
54,68,61.68,One year,DSL,Mailed check,3,Yes
67,38,65.32,One year,DSL,Electronic check,0,Yes
28,8,68.87,Month-to-month,Fiber optic,Credit card,3,Yes
36,32,68.26,Month-to-month,Fiber optic,Electronic check,7,Yes
75,43,134.66,Month-to-month,DSL,Electronic check,7,Yes
79,32,82.99,Month-to-month,No,Mailed check,3,Yes
54,31,106.51,Two year,DSL,Electronic check,8,No
45,25,49.42,One year,DSL,Electronic check,10,No
39,49,148.29,Two year,No,Electronic check,6,Yes
55,41,144.99,Month-to-month,Fiber optic,Bank transfer,9,No
54,54,98.51,Two year,Fiber optic,Bank transfer,1,Yes
36,5,139.7,Month-to-month,No,Mailed check,8,No
19,17,128.44,Month-to-month,DSL,Mailed check,1,No
27,64,32.13,Month-to-month,No,Credit card,1,No
77,58,146.1,Month-to-month,Fiber optic,Credit card,9,No
43,49,59.18,Month-to-month,Fiber optic,Mailed check,8,No
47,29,46.6,Month-to-month,Fiber optic,Electronic check,1,Yes
46,31,148.77,Month-to-month,Fiber optic,Bank transfer,2,No
66,47,33.31,Month-to-month,DSL,Electronic check,1,Yes
22,56,103.4,Month-to-month,Fiber optic,Electronic check,10,Yes
23,31,141.24,Month-to-month,DSL,Mailed check,8,No
35,65,148.85,One year,Fiber optic,Mailed check,3,No
48,25,133.56,Two year,DSL,Electronic check,0,No
59,23,137.06,One year,DSL,Mailed check,8,No
48,50,82.26,One year,Fiber optic,Mailed check,8,No
45,57,144.36,Month-to-month,Fiber optic,Mailed check,0,Yes
76,39,45.25,One year,Fiber optic,Mailed check,3,Yes
27,69,53.18,Month-to-month,Fiber optic,Electronic check,7,Yes
53,62,47.38,Month-to-month,No,Bank transfer,7,No
51,15,110.37,Month-to-month,DSL,Mailed check,6,No
47,57,24.45,Month-to-month,DSL,Mailed check,0,No
68,59,49.23,Month-to-month,Fiber optic,Mailed check,5,No
34,63,78.77,Month-to-month,Fiber optic,Mailed check,5,No
77,38,67.4,One year,Fiber optic,Electronic check,3,No
38,55,20.5,Month-to-month,DSL,Mailed check,9,No
51,52,50.06,Month-to-month,Fiber optic,Credit card,7,No
50,66,26.96,Month-to-month,No,Electronic check,0,No
70,21,50.28,Month-to-month,Fiber optic,Credit card,1,No
45,11,86.82,Month-to-month,DSL,Bank transfer,5,Yes
35,55,67.02,Two year,DSL,Credit card,9,No
19,46,127.25,Month-to-month,No,Mailed check,5,Yes
40,71,69.18,One year,DSL,Bank transfer,9,No
69,6,71.92,One year,No,Electronic check,6,No
18,2,60.96,Month-to-month,Fiber optic,Electronic check,4,No
73,36,40.36,One year,Fiber optic,Bank transfer,0,No
51,44,46.25,One year,Fiber optic,Electronic check,5,No
26,62,140.52,Month-to-month,Fiber optic,Electronic check,9,No
36,48,86.08,Month-to-month,No,Mailed check,8,No
52,52,138.59,Month-to-month,Fiber optic,Mailed check,1,Yes
37,28,97.86,Month-to-month,Fiber optic,Mailed check,2,No
24,42,64.78,One year,DSL,Credit card,5,No
59,10,148.59,Two year,Fiber optic,Electronic check,1,Yes
59,50,28.75,Two year,Fiber optic,Mailed check,8,No
25,10,140.16,Month-to-month,DSL,Electronic check,4,No
35,12,74.47,One year,No,Electronic check,2,No
33,12,122.92,Month-to-month,Fiber optic,Mailed check,6,No
58,67,124.49,Month-to-month,Fiber optic,Mailed check,7,No
63,12,59.88,One year,Fiber optic,Credit card,7,No
63,15,30.28,Two year,Fiber optic,Electronic check,8,No
76,72,122.45,One year,Fiber optic,Bank transfer,3,No
65,12,115.64,One year,Fiber optic,Bank transfer,7,No
37,39,54.52,One year,Fiber optic,Electronic check,3,No
24,10,130.06,Month-to-month,DSL,Bank transfer,6,No
56,32,91.88,Two year,DSL,Mailed check,4,No
74,68,119.26,One year,Fiber optic,Mailed check,10,No
78,23,81.77,Month-to-month,Fiber optic,Electronic check,8,No
32,33,31.99,Month-to-month,Fiber optic,Bank transfer,7,No
32,63,31.15,One year,DSL,Electronic check,1,No
20,38,107.52,Month-to-month,DSL,Mailed check,1,No
26,69,149.87,Two year,DSL,Bank transfer,8,No
52,27,120.77,One year,Fiber optic,Electronic check,7,No
51,16,79.87,Two year,DSL,Bank transfer,10,No
40,1,133.84,Month-to-month,Fiber optic,Electronic check,4,No
37,28,83.15,Month-to-month,DSL,Mailed check,4,No
69,4,93.8,Month-to-month,DSL,Mailed check,4,No
46,42,63.43,Month-to-month,DSL,Electronic check,5,No
68,1,108.24,One year,Fiber optic,Electronic check,10,No
77,7,94.08,One year,Fiber optic,Credit card,4,No
37,39,142.25,Month-to-month,DSL,Mailed check,5,No
30,44,71.46,Month-to-month,Fiber optic,Bank transfer,10,No
77,14,84.05,Month-to-month,Fiber optic,Bank transfer,0,No
57,54,42.51,Month-to-month,Fiber optic,Mailed check,9,No
36,29,120.34,Month-to-month,No,Electronic check,0,No
56,13,147.81,Month-to-month,Fiber optic,Credit card,8,Yes
49,33,147.18,One year,DSL,Bank transfer,8,Yes
74,67,82.07,One year,DSL,Bank transfer,6,No
33,38,88.83,Month-to-month,Fiber optic,Mailed check,0,No
79,62,58.94,One year,Fiber optic,Bank transfer,5,Yes
76,65,146.19,Month-to-month,DSL,Mailed check,7,Yes
29,16,35.01,Month-to-month,DSL,Mailed check,6,No
28,3,121.13,One year,Fiber optic,Mailed check,6,No
51,48,92.82,Month-to-month,No,Bank transfer,7,Yes
20,36,103.89,Month-to-month,Fiber optic,Bank transfer,4,No
36,26,102.22,One year,DSL,Mailed check,0,No
44,9,76.73,Month-to-month,No,Credit card,3,No
78,10,87.65,Month-to-month,DSL,Bank transfer,10,No
79,67,110.67,Month-to-month,No,Bank transfer,7,No
27,10,143.64,One year,Fiber optic,Credit card,9,No
73,66,73.09,Month-to-month,DSL,Electronic check,1,No
23,19,77.96,Month-to-month,Fiber optic,Electronic check,2,Yes
64,10,42.83,Month-to-month,Fiber optic,Bank transfer,8,No
70,37,107.52,Month-to-month,No,Bank transfer,5,No
73,8,139.37,Month-to-month,Fiber optic,Electronic check,3,Yes
31,19,89.21,Two year,DSL,Electronic check,9,No
73,8,51.15,One year,Fiber optic,Credit card,8,No
25,1,80.2,One year,Fiber optic,Credit card,7,Yes
50,7,81.66,One year,Fiber optic,Bank transfer,6,No
47,70,50.85,Two year,Fiber optic,Electronic check,1,No
37,11,92.46,Month-to-month,Fiber optic,Electronic check,2,No
19,16,100.13,Month-to-month,Fiber optic,Mailed check,6,No
65,11,53.09,Month-to-month,DSL,Credit card,5,No
38,5,78.98,One year,Fiber optic,Mailed check,1,No
59,11,104.64,One year,No,Electronic check,10,Yes
43,7,138.02,Two year,No,Electronic check,1,No
41,10,31.64,Month-to-month,No,Credit card,3,No
72,33,136.68,Month-to-month,No,Bank transfer,6,No
23,27,37.37,Month-to-month,DSL,Bank transfer,1,Yes
63,13,84.15,Month-to-month,DSL,Bank transfer,6,No
64,18,134.45,One year,Fiber optic,Credit card,2,Yes
41,34,139.61,Month-to-month,DSL,Credit card,10,No
34,30,122.79,Month-to-month,DSL,Electronic check,5,No
18,8,32.17,Two year,Fiber optic,Bank transfer,4,No
76,65,60.9,Month-to-month,No,Bank transfer,10,No
76,28,45.1,Month-to-month,Fiber optic,Mailed check,5,No
32,25,87.71,One year,Fiber optic,Mailed check,7,No
19,41,70.81,Two year,Fiber optic,Electronic check,5,No
25,20,139.41,Month-to-month,Fiber optic,Electronic check,2,No
22,45,51.07,Month-to-month,DSL,Bank transfer,3,No
69,66,130.21,One year,No,Mailed check,0,Yes
73,61,66.53,Two year,No,Credit card,3,No
27,23,133.28,Month-to-month,No,Bank transfer,0,No
64,6,53.51,Month-to-month,Fiber optic,Electronic check,2,No
29,8,74.39,Month-to-month,DSL,Mailed check,3,No
40,15,69.98,One year,Fiber optic,Credit card,5,No
55,45,119.05,One year,Fiber optic,Credit card,1,No
62,36,100.69,Month-to-month,DSL,Credit card,1,Yes
72,20,142.52,Month-to-month,Fiber optic,Electronic check,3,No
20,14,40.7,Month-to-month,No,Mailed check,5,No
30,37,149.99,Two year,Fiber optic,Mailed check,5,No
35,70,31.69,Month-to-month,Fiber optic,Credit card,9,No
37,56,89.6,Month-to-month,Fiber optic,Bank transfer,6,No
79,18,46.96,One year,Fiber optic,Mailed check,6,Yes
66,41,82.52,One year,Fiber optic,Electronic check,7,No
37,37,119.25,Month-to-month,DSL,Bank transfer,6,Yes
78,59,82.25,One year,DSL,Mailed check,4,No
48,25,131.31,Month-to-month,DSL,Credit card,3,Yes
49,25,111.75,Month-to-month,DSL,Electronic check,4,Yes
44,32,86.48,Month-to-month,Fiber optic,Credit card,8,No
26,12,142.56,Month-to-month,Fiber optic,Electronic check,2,No
75,63,125.18,Two year,Fiber optic,Bank transfer,1,No
18,28,143.56,Month-to-month,Fiber optic,Electronic check,5,Yes
28,62,90.25,Month-to-month,Fiber optic,Electronic check,7,No
32,30,141.51,One year,Fiber optic,Bank transfer,2,No
35,49,38.56,Month-to-month,Fiber optic,Electronic check,6,No
26,52,142.07,One year,Fiber optic,Bank transfer,0,Yes
19,57,86.2,One year,DSL,Electronic check,5,No
60,50,20.61,Month-to-month,Fiber optic,Bank transfer,9,No
78,50,125.37,Month-to-month,DSL,Bank transfer,7,Yes
25,22,136.07,Month-to-month,DSL,Electronic check,1,No
36,4,92.63,Month-to-month,DSL,Bank transfer,7,No
49,67,77.96,Month-to-month,No,Electronic check,10,Yes
75,61,134.22,Month-to-month,DSL,Electronic check,1,Yes
61,20,26.67,Two year,DSL,Electronic check,5,No
65,1,130.26,Month-to-month,No,Mailed check,5,No
54,72,111.99,One year,No,Credit card,3,No
43,6,98.29,Month-to-month,DSL,Electronic check,10,No
30,2,96.25,Two year,DSL,Credit card,7,No
71,72,55.81,Month-to-month,Fiber optic,Bank transfer,6,No
67,49,45.69,Month-to-month,DSL,Bank transfer,3,No
19,43,95.76,One year,Fiber optic,Electronic check,7,No
62,45,65.82,Month-to-month,DSL,Bank transfer,9,No
23,54,53.5,One year,No,Credit card,6,No
63,42,94.68,Month-to-month,No,Bank transfer,4,Yes
69,54,90.52,Two year,DSL,Bank transfer,0,No
26,56,62.28,One year,Fiber optic,Electronic check,0,No
44,15,103.26,One year,DSL,Bank transfer,6,Yes
25,43,26.23,Month-to-month,Fiber optic,Mailed check,4,No
53,24,138.5,Month-to-month,Fiber optic,Mailed check,5,No
75,44,38.2,One year,No,Bank transfer,10,No
23,12,134.55,Month-to-month,DSL,Electronic check,10,No
42,64,79.24,Month-to-month,DSL,Electronic check,1,No
78,19,120.0,Two year,DSL,Credit card,0,No
36,13,103.32,Month-to-month,DSL,Credit card,1,No
26,8,90.39,One year,DSL,Credit card,2,Yes
48,38,132.84,One year,DSL,Mailed check,10,No
49,25,41.94,Month-to-month,Fiber optic,Electronic check,0,Yes
59,51,148.39,One year,DSL,Electronic check,2,No
37,30,126.14,Two year,Fiber optic,Electronic check,4,No
77,22,141.0,Two year,DSL,Bank transfer,7,Yes
50,22,145.88,Two year,Fiber optic,Mailed check,5,No
35,16,45.48,One year,No,Bank transfer,5,Yes
77,50,146.37,One year,Fiber optic,Electronic check,0,No
75,9,94.36,One year,Fiber optic,Electronic check,4,Yes
48,66,97.71,Month-to-month,Fiber optic,Bank transfer,6,No
19,19,56.92,Month-to-month,Fiber optic,Credit card,10,No
55,0,44.8,Month-to-month,Fiber optic,Electronic check,4,Yes
52,48,42.52,Two year,DSL,Electronic check,5,No
27,51,24.13,Two year,No,Mailed check,10,Yes
57,44,67.34,Two year,No,Mailed check,6,Yes
70,26,126.51,Two year,Fiber optic,Mailed check,3,No
24,12,115.93,Two year,DSL,Mailed check,3,No
62,63,24.18,Month-to-month,No,Credit card,4,No
26,35,125.45,One year,DSL,Electronic check,5,No
64,34,92.45,Two year,DSL,Bank transfer,2,Yes
43,15,58.34,Month-to-month,Fiber optic,Electronic check,9,Yes
18,57,84.54,Month-to-month,Fiber optic,Mailed check,7,No
77,68,22.48,One year,Fiber optic,Credit card,1,No
28,47,77.52,One year,DSL,Mailed check,10,No
54,52,57.59,Month-to-month,No,Bank transfer,9,No
29,51,99.78,Month-to-month,No,Credit card,1,No
75,12,123.77,Month-to-month,Fiber optic,Bank transfer,1,No
63,33,89.38,Month-to-month,Fiber optic,Bank transfer,9,Yes
67,21,101.06,Month-to-month,DSL,Bank transfer,3,No
44,29,147.25,One year,DSL,Electronic check,2,No
46,62,115.16,One year,DSL,Electronic check,3,No
57,60,45.73,Month-to-month,DSL,Electronic check,8,No
66,40,145.24,Month-to-month,No,Mailed check,7,Yes
70,8,52.45,Month-to-month,Fiber optic,Electronic check,1,Yes
19,25,83.84,Month-to-month,Fiber optic,Bank transfer,2,No
